text,true_category,pred_category,text_length
"әлемде ең көп табыс табатын музыканттар тізімі жасалды әлемде ең көп табыс табатын музыканттар тізімі жасалды forbes журналы жылсайынғы әлемде ең көп табыс табатын музыканттар тізімі жасалды, - деп хабарлайды tengrinews.kz тілшісі. forbes журналы жылсайынғы әлемде ең көп табыс табатын музыканттар тізімі жасалды, - деп хабарлайды tengrinews.kz тілшісі. бірінші орынды америкалық әнші тейлор свифт иеленді. 2019 жылы ол 185 миллион доллар табыс тапқан. басылым мәліметінше, оның лейблмен жаңа келісімшарты осындай нәтижеге себеп болған, сондай-ақ жарнамалық келісімшарттар мен гастрольдік турдың ақтың кезеңі табысты болған. екінші орынға 150 мың доллар тапқан рэпер канье уэст жайғасты. үшінші орын - ұлыбританиялы эд ширан (110 миллион доллар). содан кейін, the eagles (100 миллион доллар), элтон джон (84 миллион доллар), jay-z және оның жарыс бейонсе ( 81 миллион доллар).",economy,other,876
"бжзқ-ға қосымша 5 пайыздық жарна: министрлік норма қашан іске қосылатынын айтты бжзқ-ға қосымша 5 пайыздық жарна: министрлік норма қашан іске қосылатынын айтты еңбек және халықты әлеуметтік қорғау министрлігі экономист олжас құдайбергеновтің еліміздің мемлекеттік органдары жұмыс берушілер есебінен қосымша 5 пайыздық зейнетақы жарналарын енгізу жоспарына қайта оралғаны туралы жазбасына пікір білдірді, - деп хабарлайды tengrinews.kz тілшісі. еңбек және халықты әлеуметтік қорғау министрлігі экономист олжас құдайбергеновтің еліміздің мемлекеттік органдары жұмыс берушілер есебінен қосымша 5 пайыздық зейнетақы жарналарын енгізу жоспарына қайта оралғаны туралы жазбасына пікір білдірді, - деп хабарлайды tengrinews.kz тілшісі. ведомство зейнетақы заңнамасына жаңа түзетулер әзірленіп жатпағанын мәлім етті. жұмыс берушілердің 5 пайыз мөлшеріндегі міндетті зейнетақы жарналарын (мзж) енгізу туралы нормалар ""қазақстан республикасының кейбір заңнамалық актілеріне зейнетақымен қамсыздандыру мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы"" 2015 жылғы 2 тамыздағы заңмен қабылданған. ""жұмыс берушілердің міндетті зейнетақы жарналарын енгізуді 2018 жылғы 1 қаңтардан бастап жүзеге асыру жоспарланған болатын. алайда міндетті әлеуметтік медициналық сақтандыру бойынша жоспар енгізілгелі жатқанын ескере отырып, осы түзетулерді қолданысқа енгізу мерзімі 2020 жылға ауыстырылды. мемлекет басшысының тапсырмасы бойынша 2019 жылы заңнамалық түзетулер қабылданды, оған сәйкес мзж енгізу мерзімі 2023 жылға ауыстырылды (""қазақстан республикасының кейбір заңнамалық актілеріне міндетті әлеуметтік сақтандыру, әлеуметтік қамсыздандыру және денсаулық сақтау саласындағы мемлекеттік-жекешелік әріптестік мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы"" 2019 жылғы 26 желтоқсандағы заң)"", - делінген еңбек министрлігінің жауабында. сондай-ақ, министрлік 2019 жылы мемлекет басшысының тапсырмасы бойынша үкімет жанынан зейнетақы жүйесін одан әрі дамыту, оның ішінде жұмыс берушілердің 5 пайыздық міндетті зейнетақы жарналарын енгізу мәселелерін қарау бойынша жұмыс тобы құрылғанын айтты. ведомство мәліметі бойынша, жұмыс тобына мемлекеттік органдардың өкілдері, парламент депутаттары мен сарапшылар кіреді. ""жұмыс тобы аясында әзірленген ұсыныстарды мемлекет басшысы қолдады, ал ұсынылған шаралардың бір бөлігі заңнамалық деңгейде де, іс жүзінде де жүзеге асырылды. мысалы, 2021 жылдан бастап зейнетақы жинақтарының бір бөлігін тұрғын үй жағдайларын жақсартуға, емделуге, қаржы ұйымдарының басқаруына беруге мақсатты пайдалану мүмкіндігі берілді. қолданыстағы заңнамаға сәйкес жұмыс берушілер мзж-ны 2023 жылдан бастап өз қаражаты есебінен жұмыскерлер пайдасына аударатын болады. бұл халықаралық стандарттарға сәйкес келетін зейнетақы жасына жеткен кезде қазақстандықтардың зейнетақы жинақтарының барабар деңгейін (зейнеткерлікке шыққаннан кейінгі табысты ауыстыру коэффициенті) сақтауға, сондай-ақ бжзқ-ның барлық салымшысы зейнетақы жинақтарының бір бөлігін нысаналы пайдалану құқығын іске асыруға мүмкіндік береді"", - делінген хабарламада. бірнеше күн бұрын экономист олжас құдайбергенов еліміздің мемлекеттік органдары жұмыс берушілер есебінен қосымша 5 пайыздық зейнетақы жарналарын енгізу жөніндегі жоспарға қайта оралғанын жазған болатын. еске салайық, 2019 жылдың шілдесінде еңбек және халықты әлеуметтік қорғау министрлігі 2020 жылдың 1 қаңтарынан бастап әрбір жұмыс беруші міндетті 10 пайыздық жарнадан бөлек, жұмыскердің жалақысының қосымша бес пайызын бжзқ-ға аударуға міндетті екенін хабарлаған болатын. тиісті заң 2015 жылы қабылданды. жүйені 2018 жылы енгізу жоспарланған болатын, бірақ бейінді ведомство жаңа енгізілімді келесі жылға шегерді. кейін бұл жарналар азаматтардың меншігі болмайтыны және бірыңғай жинақтаушы зейнетақы қорында ашылған әрбір қызметкердің шартты зейнетақы шотында тіркелетіні белгілі болды. сонымен қатар, қосымша 5 пайыздық жарналар мұраға берілмейді. бұл жаңалықты халық сынға алды. адамдар жұмыс берушілер қызметкерлердің жалақысына онсыз да аударылатын 5 пайызды салады деп қорықты. кәсіпкерлер де өз бюджетіне қосымша ауыртпалық түсіруге қарсы болды. 2019 жылдың қыркүйегінде президент қасым-жомарт тоқаев 5 пайыздық зейнетақы төлемін енгізуді 2023 жылға дейін кейінге қалдырды. сілтемесіз жаңалық оқисыз ба? онда ""вконтакте"" желісінде парақшамызға тіркеліңіз!",social,politics,4317
"премьер-министр қазақстанда атом электр станциясын салу туралы айтты премьер-министр қазақстанда атом электр станциясын салу туралы айтты премьер-министр әлихан смайылов қазақстанда атом электр станциясын салу туралы айтты, - деп хабарлайды tengrinews.kz тілшісі. премьер-министр әлихан смайылов қазақстанда атом электр станциясын салу туралы айтты, - деп хабарлайды tengrinews.kz тілшісі. премьер-министр tengrinews.kz тілшісіне берген сұхбатында қазақстан үкіметі қай мердігерді таңдауға бейім деген сұраққа жауап берді. ""біз атом электр станцияларын салу мен пайдаланудың халықаралық тәжірибесін зерттеп жатырмыз. бұл оңтүстіккореялық, француз, қытайлық технологиялар және ресейлік. барып, түркияның тәжірибесін, ""росатом"" компаниясының қатысуымен салынып жатқан ""аккую"" атом электр станциясын қарап шықтық. бұл француз компаниясының тәуелсіз сараптамасы бар танымал жеткізушілерден жабдық сатып алынатын халықаралық жоба. ""аккую"" тәжірибесі бізге өте пайдалы"", - деді әлихан смайылов. ол қазақстандағы аэс жобасы да халықаралық болатынын айтты. ""аэс жұмысының қауіпсіздігіне ерекше мән береміз. маусымда делегациямыз оңтүстік кореяда болды, шілдеде францияға бардық. қытайлық жеткізушілермен келіссөздер жүргізіліп жатыр. халықаралық тәжірибені тереңдетіп зерттеу нәтижелері бойынша ядролық технологияларды жеткізушілер тартылады. қайталап айтамын, бұл халықаралық жоба болады"", - деді премьер-министр. әлихан смайылов аэс құрылысы сегіз жылға жуық уақытқа созылатын ұзақ кезең екенін атап өтті. ""ядролық энергиясыз энергетикалық қауіпсіздігімізді қамтамасыз ете алмаймыз. біз көмір есебінен генерацияны көбейте алмайтын шығармыз, өйткені бүкіл әлем декарбонизация бағытына қарай бет алды. біз атом электр станцияларынан қорықпауымыз керек, ең қауіпсіз технологияны және барлық жұмысты дер кезінде орындай алатын жеткізушілерді таңдаймыз"", - деді үкімет басшысы. қазақстан премьер-министрінің сұхбатын мына жерден толық оқи аласыз.",other,politics,1935
"ғалымдар күннің кенеттен жарылу ықтималдығы туралы айтты ғалымдар күннің кенеттен жарылу ықтималдығы туралы айтты ресей ғылым академиясы күннің кенеттен жарылу мүмкіндігіне баға берді, - деп хабарлайды риа новости. ресей ғылым академиясы күннің кенеттен жарылу мүмкіндігіне баға берді, - деп хабарлайды риа новости. бұған дейін күннің белсенділігінің жаңа кезеңі басталғаны хабарланған болатын. ресей ғылым академиясы ғарыштық зерттеу институтының директоры анатолий петрукович күннің жарылуы екіталай екенін, ол есептеліп, тексеріліп отыратынын айтады. ғалымның сөзінше, жақын маңда тұрған жұлдыз жарылған жағдайда ғана аспан шырақтарына қауіп төнуі мүмкін. ""бізде галактикадағы ең тыныш жер, біздің маңда жаңа нәрселер сирек кездеседі. бізге жақын тұрған, теория жүзінде жарылуы мүмкін жұлдыздар бізден ондаған жарық жыл алыс тұр. олар жарылуына әлі талай уақыт қажет жасыл алыптар"", - дейді петрукович. оның айтуынша, күннің қандай да бір механизмін елестету қиын, сондықтан кез келген болжам ғылым негізінде жасалады. ""сондай-ақ мысалы өзге ғаламшарлықтар пайда болып, бізді жаулап алуы мүмкін деп болжауға болады. жұлдыздар жарылатын бірнеше нұсқа бар, бірақ біздің жағдайымызда емес"", - дейді ғалым. сілтемесіз жаңалық оқисыз ба? онда ""вконтакте"" желісінде парақшамызға тіркеліңіз!",education,other,1287
"депутаттар каникулға шықты депутаттар каникулға шықты мәжіліс спикері ерлан қошанов жетінші сайланған қазақстанның парламенті екінші сессиясының жабылуы және парламенттік каникул туралы мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. мәжіліс спикері ерлан қошанов жетінші сайланған қазақстанның парламенті екінші сессиясының жабылуы және парламенттік каникул туралы мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. қошанов парламенттік қызметте айтулы жағдайлар болғанын және маңызды шешімдер қабылданғанын айтты. ""қазіргі парламенттік сессия қазақстандық қоғам үшін маңызды кезеңде өтті - ең алдымен, біз тек екі жылға созылған коронавирус пандемиясымен күресіп қана қоймай, бірігіп нақты нәтижелерге қол жеткізе білдік"", - дейді қошанов. дәстүр бойынша, парламентте кезекті сессия маусымның соңында қорытынды жасалады. сессия аяқталғаннан кейін депутаттар қыркүйекке дейін каникулға кетеді.",other,politics,897
"нұр-сұлтанда инфекциялық стационарлар 72 пайызға толған нұр-сұлтанда инфекциялық стационарлар 72 пайызға толған нұр-сұлтанда инфекциялық стационарлар 72 пайызға толған. бұл туралы елорданың қоғамдық денсаулық сақтау басқармасының басшысы тимур мұратовтың баяндамасында айтылды, - деп хабарлайды tengrinews.kz тілшісі. нұр-сұлтанда инфекциялық стационарлар 72 пайызға толған. бұл туралы елорданың қоғамдық денсаулық сақтау басқармасының басшысы тимур мұратовтың баяндамасында айтылды, - деп хабарлайды tengrinews.kz тілшісі. ""22 шілдедегі ақпарат бойынша, инфекциялық стационарларда 2 556 науқас ем алып жатыр. оның ішінде коронавирус расталған - 2 270 адам, пневмониямен - 286 адам. осылайша, жүктеме 72 пайызды құрайды. бүгінде стационарлар сыйымдылығы - 3 562 төсек. коронавируспен күресу үшін 16 стационар жұмыс істейді"", - делінген хабарламада. қалада сырқаттанушылықтың өсуіне байланысты қалалық ауруханаларды қайта бейіндеуге және әзірге жоспарлы емдеуге жатқызуды тоқтатуға тура келеді. осылайша басқа медициналық клиникаларда әртүрлі профиль бойынша ауруханаға жатқызуда жүктеме болады. ""біз төсек-орындарды ұлғайтуға, қолда бар барлық ресурсты пайдалануға мәжбүрміз. күніне коронавирустан шамамен 10-15 өлім жағдайы тіркеледі. өткен тәулікте 333 адам ауруханаға жатқызылды. денсаулық сақтау жүйесінде, әрине, белгілі бір ресурстық қиындықтар бар, бірақ covid-19-бен күресу жұмыстары тоқтамайды. ашылған инфекциялық төсектердің тек 1006-сы ғана бос, оның ішінде 62-сі реанимациялық төсектер. реанимация бөлімшесінде барлығы 230 пациент жатыр, коронавируспен – 203 адам. оның ішінде аса ауыр дәрежеде - 70 адам, жасанды тыныс алуда 47 пациент жатыр"", - делінген мұратовтың баяндамасында. тұрғындар өз бетінше емделуге тырысатындықтан жұқпалы аурулар стационарларына ауыр жағдайдағы науқастар түсе бастаған. қоғамдық денсаулық сақтау басқармасының мәліметі бойынша, медициналық көмекке уақытылы жүгінбеген науқастарды реанимацияға ауыстыруға тура келеді. бұған дейін денсаулық сақтау министрі алексей цой қазақстанда локдаун қандай жағдайда енгізілуі мүмкін екенін хабарлаған болатын. есіз жаңалық оқисыз ба? онда telegram желісінде парақшамызға тіркеліңіз!",other,health,2163
"павлодарда жоғалып кеткен зейнеткерді оқушылар зират маңынан тауып алды павлодарда жоғалып кеткен зейнеткерді оқушылар зират маңынан тауып алды павлодарлық оқушылар жоғалып кеткен қарияны қала зиратының маңындағы үш метрлік шұңқырдан тапты. қалжыраған зейнеткер терең арықтың түбінде бірнеше сағат отырған, - деп хабарлайды tengrinews.kz тілшісі. павлодарлық оқушылар жоғалып кеткен қарияны қала зиратының маңындағы үш метрлік шұңқырдан тапты. қалжыраған зейнеткер терең арықтың түбінде бірнеше сағат отырған, - деп хабарлайды tengrinews.kz тілшісі. жасөспірімдер есте сақтау қабілеті нашар қарт адам жоғалып кеткенін қалада жапсырылған қағаздардан білген. онда қария таңертең үйден белгісіз бағытта шығып кеткені жазылған. фото мен видеоны еріктілер ұсынды еріктілер жақын маңдағы үйлер мен аулаларды аралап жүргенде, мектеп оқушылары ескі қалалық зират пен оған іргелес аумақты тексеруді ұйғарған. ""зираттың маңынан құрғақ бұталар мен кірпіш сынықтары бар терең шұңқырды көрдік. оның ішінде ата отырды. ол бүгіліп отырды, сөйлей алмады. дамир екеуміз төменге түсіп, орнынан тұруға көмектестік, ал артур, әнуар, әділ және санжар оны жоғарыға көтерді"", - дейді 8-сынып оқушысы рафаэль ғиниятов. жасөспірімдердің айтуынша, қарт кісі шөлдеп, қатты ашыққан. оқушылар оны жақын маңдағы дүкенге апарып, су мен тамақ алып берген. осы аралықта сатушы қарияны іздеп жатқандарға телефон соғып, олар мектеп оқушыларымен бірге қарт кісіні үйіне апарған. жергілікті еріктілердің айтуынша, қария осы оқушылардың арқасында туған-туыстарына орала алды. ""біз ол зиратқа барады деп ойламадық. оны 12 сағатқа жуық іздеп, павлодардың № 41 және № 11 мектеп оқушылары - рафаэль ғиниятов пен оның достары дамир жаманбай, артур ракоедов, әнуар темірғалиев, әділ алмазбеков және санжар әбдікәрімовтің көмегімен таптық. балалар атаның өмірін құтқарып қалды десем артық айтқаным емес. ол қалжыраған, тіпті көмекке шақыра алмады. балалар оны байқап, шұңқырдан шығарғаны ғажайып. өзі шыға алмас еді"", - деп атап өтті ""павлодар қаласының vita іздеу жүйелері"" қб еріктісі людмила былинина.",education,other,2059
"алдын ала есеп: референдумға қанша адам қатысқаны белгілі болды алдын ала есеп: референдумға қанша адам қатысқаны белгілі болды қазақстанда референдумға қатысқандар 68 пайыздан асты. бұл туралы орталық референдум комиссиясының хатшысы мұхтар ерман мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. қазақстанда референдумға қатысқандар 68 пайыздан асты. бұл туралы орталық референдум комиссиясының хатшысы мұхтар ерман мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. 22.00-дегі алдын ала мәліметтер бойынша, 8 миллион 30 мың 739 адам бюллетень алған. дауыс беруге келгендер 68,44 пайыз болған. дауыс беруге келгендер бойынша көшбасшы түркістан облысы болды, онда - 80,66 пайыз. дауыс беруге келгендер саны ең аз тіркелген облыс - алматы, онда - 33,3 пайыз. ""референдум комиссиясы дауыстарды санауға кірісті. ертең аумақтық комиссиялардың хаттамаларының электрон түрде түсуін күтеміз. дауыс берудің алдын ала қорытындылары брифинг барысында жарияланады"", - деді мұхтар ерман. еске салайық, бұған дейін референдумда 8 миллионға жуық қазақстандық дауыс бергені хабарланған болатын.",politics,other,1081
"әлемнің ең жайлы түрмесінде қазақстандықтар жоқ әлемнің ең жайлы түрмесінде қазақстандықтар жоқ әлемдегі ең жайлы түрмеде қазақстандықтар жоқ. бұл туралы парламент сенатының депутаттарына бас прокурордың орынбасары жақып асанов айтып берді, - деп хабарлайды tengrinews.kz тілшісі. айта кетейік, жұмаққа баланған монако князьдығы түрмесі теңіз жағалауында орналасқан. әлемдегі ең жайлы түрмеде қазақстандықтар жоқ. бұл туралы парламент сенатының депутаттарына бас прокурордың орынбасары жақып асанов айтып берді, - деп хабарлайды tengrinews.kz тілшісі. айта кетейік, жұмаққа баланған монако князьдығы түрмесі теңіз жағалауында орналасқан. бүгін сенаторлар монако князьдығымен қылмыстық істер жөнінде құқықтық көмек бойынша өзара келісімшартты бекітті. ""монако князьдығы кішігірім, қауіпсіз әрі бай мемлекет. оның аумағы небәрі 2 шаршы шақырым - бұл астанадағы expo нысандарына берілген жермен бірдей. халқы - 37 мың адам. бұған қарамастан онда 50 ірі банк жұмыс істейді. онда тұруды қалаушылар көп, сондықтан да біз князьдықпен қылмыстық істер жөнінде үш келісімшартты бекітуді ұсындық. дегенмен оларда түрме біреу-ақ. ол теңіз жағасында орналасқан, онда барлық жағдай жасалған. қазір ол жерде 9 адам ғана жазасын өтеп жатыр. олардың ішінде қазақстандықтар жоқ"", - деді асанов. ""біздің азаматтарымыз қайда болса да олардың қауіпсіздігі мен қамқорлықта болуы - конституциямыздың негізгі талабы. сондықтан да біз үш келісімшартты да бекітуді жөн көріп отырмыз. олардың біреуіне қол қойылды"", - деді бас прокурордың орынбасары. келісімшартқа биыл 5 наурызда монте-карлода қол қойылды. ""бұл келісімшарт қазақстанға не береді? біз монакода бөлек тергеу жүргізуге мүмкіндік алдық, мысалы куәгерден жауап алу, заттай айғақтарды тексеру, ақпаратты талап ету. дегенмен бұлар жеткіліксіз, тараптар бір-біріне басқа да көмек көрсетуі мүмкін, ол тараптардың ұлттық заңына қайшы келмеуі керек"", - деді жақып асанов. сонымен қатар, ол екі тарап та белгілі бір іс бойынша көмек көрсете алатынын мәлімдеді. осыған байланысты келісімшартта бірнеше негіздер келтірілген. сенатор серік ақылбай құжатты бекітуді қолдады. ""жаңа ғана құжатты таныстырған адам бұл келісімшарттың неліктен кішкентай ғана мемлекетпен жасалып жатқанын түсіндірді. біздің азаматтар ақшасын шетелде сақтайды. оларды осындай жолмен қайтару механизмі бізді алаңдатады"", - деді ол. айта кетейік, интернетте монако түрмесін әлемдегі ең элиталы деп атайды. оны интернетке жарияланған суреттерден байқауға болады. © nikitskij.livejournal.com онда көбіне ресейліктер бар деген ақпарат пайда болды. түрмеде ашық аспан астында салынған кинотеатр да бар.",crime,other,2598
"елімізде мемлекеттік балабақшалардың жұмыс уақыты 19.00-ге дейін ұзаруы мүмкін елімізде мемлекеттік балабақшалардың жұмыс уақыты 19.00-ге дейін ұзаруы мүмкін ата-аналар жұмыстан кейін балаларын балабақшадан алып кетуге үлгеру үшін 2018 жылдан бастап мемлекеттік балабақшалардың жұмыс уақыты 19.00-ге дейін ұзаруы мүмкін. бұл туралы қр білім және ғылыми министрі ерлан сағадиевтің депутаттық сауалға берген жауабында айтылады, - деп хабарлайды tengrinews.kz тілшісі. ата-аналар жұмыстан кейін балаларын балабақшадан алып кетуге үлгеру үшін 2018 жылдан бастап мемлекеттік балабақшалардың жұмыс уақыты 19.00-ге дейін ұзаруы мүмкін. бұл туралы қр білім және ғылыми министрі ерлан сағадиевтің депутаттық сауалға берген жауабында айтылады, - деп хабарлайды tengrinews.kz тілшісі. министрдің айтуынша, алматы білім басқармасындағылар мен қазақстанның басқа өңірлеріндегі білім басқармалары осы мәселені қарастаруды жоспарлап отыр. бұл мәселені балабақшадан балаларын алып кетуге үлгере алмай жүрген ата-аналар да көтерген болатын. министрдің айтуынша, мектепке дейінгі мекемелерге бақылау жүргізілді. ""бүгінгі күні жергілікті атқарушы органдар осы мәселені зерделеп, балабақшалардың 49,2 пайызының жұмыс режимін 10,5 сағаттықтан 12 сағаттық жұмыс күні режиміне ауыстыру үшін қосымша қаражат бөлуді қарастырып жатыр"", - делінген министрдің жауабында. сондай-ақ, ата-аналар арасында кешкі кезекші топтарды ашу мәселесі бойынша сауалнама жүргізілді. жалпы, қр бғм мәліметінше, елімізде жұмыс істейтін балабақшалардың 9844-і - мемлекеттік, олардың 53 пайызы бес күндік, 12 сағаттық жұмыс күнімен істейді.",economy,social,1593
"алматының екі миллионыншы тұрғыны туралы не белгілі? алматының екі миллионыншы тұрғыны туралы не белгілі? 21 маусымда алматының екі миллионыншы тұрғыны аяла жамбыл дүниеге келді, - деп хабарлайды tengrinews.kz тілшісі aibat жаңалықтар қызметіне сілтеме жасап. 21 маусымда алматының екі миллионыншы тұрғыны аяла жамбыл дүниеге келді, - деп хабарлайды tengrinews.kz тілшісі aibat жаңалықтар қызметіне сілтеме жасап. қыз - отбасындағы алтыншы бала. аяланың бес әпкесі бар. ""декретке дейін балабақшада тәрбиеші болып жұмыс істедім. балаларды, оларды баққанды жақсы көремін. сондықтан шығар, жаратқан маған осындай сый жасады - алты қыздың анасы атандым"", - деді анасы әлия жәнібекова. екі миллионыншы тұрғынның әкесі полицияда жұмыс істейді. аяла төрт келіден сәл асып туған. отбасы ұлы мен үлкен пәтері болғанын қалайды. қазір жанұя баспана кезегінде 2050-ші болып тұр және ата-анасымен бірге тұрады. публикация от @aibat__kz",social,other,922
"астанадағы бір балабақшада 10 бала белгісіз ауру жұқтырған астанадағы бір балабақшада 10 бала белгісіз ауру жұқтырған астанадағы №36 бақшаға бір күнде он бала келмей қалды. ата-аналар сәбилердің астан улануы мүмкін дейді. бұл туралы ""астана"" телеарнасы хабарлады. астанадағы №36 бақшаға бір күнде он бала келмей қалды. ата-аналар сәбилердің астан улануы мүмкін дейді. бұл туралы ""астана"" телеарнасы хабарлады. кеше кешкісін динара салихованың 5 жасар қызы сырқаттанып, жедел жәрдем көмегіне жүгінген. ақ халаттылар ішек инфекциясы деген диагноз қойып, дәрі жазып беріпті. кешкісін тәбеті болмаған. ал түнгі сағат екіде қызуы көтеріліп, құсып, іші өткен. балабақша басшылығы аудандық тазалықты қадағалау бөліміне жағдайды хабарлаған. мамандардан ешқандай дабыл хабар түскен жоқ екен. әзірге бөлмені жуып-шайып, залалсыздандыру туралы кеңес берумен шектелген. ""ол топта балаларды ұстауға бола ма деп сұрағанымда, болады деді. кеше 20 бала келген. он бүлдіршін ауырып қалды, өзгелері балабақшада"", - дейді №36 бала бақша меңгерушісі нағима жұмабай. ал кешкісін балабақшаға қалалық білім бөлімінің өкілдері келген. мекемеде болып мән-жаймен жете танысты. тиісті тексеру жүргізіле бастағанын айтты. ""анық-қанығын біліп алған соң, шешім қабылданатын болады. қазіргі уақытта тексеру жұмыстары жүріп жатыр"", - деп хабарлады өз кезегінде астана қалалық білім басқармасының бөлім бастығы ләззат оразбекова.",health,social,1396
"түркістанда мемлекеттік нөмір орнына балағат сөздер жазған жүргізуші жазаланды түркістанда мемлекеттік нөмір орнына балағат сөздер жазған жүргізуші жазаланды көлігіне бейәдеп сөз жазып алған жүргізуші мен автобусқа арналған жолақпен көлік басқарған жүргізуші жауапқа тартылды, - деп хабарлайды polisia.kz. көлігіне бейәдеп сөз жазып алған жүргізуші мен автобусқа арналған жолақпен көлік басқарған жүргізуші жауапқа тартылды, - деп хабарлайды polisia.kz. түркістан қаласы бекзат саттарханов даңғылындағы маршруттық көлік жүретін жолақпен заңсыз жүрген ваз 2114 автокөлігі анықталды. бұл жайт бойынша жедел түрде әрекет еткен полицейлер автокөлікті дереу тоқтатып, қр әқбтк-нің 601-бабы (""жол белгiлерiмен немесе жолдың жүру бөлiгiндегi таңбалармен көрсетiлген талаптарды сақтамау"") бойынша хаттама толтырды. сонымен қатар қала тұрғындарының бірінен жедел басқару орталығына хабарлама келіп түсті. онда түркістан қаласы ата түрік көшесі бойында ваз 2114 автокөлігі мемлекеттік тіркеу нөмірінің орнына балағат сөздер жазып алғанын көрсеткен. полицейлер оқиға орнына жетіп, құқықбұзушыны тоқтатты. қазіргі таңда автокөлік айыптұраққа қойылып, оған қатысты қр әқбтк-нің 590-бабы (""көлiк құралдарын пайдалану қағидаларын бұзу"") бойынша хаттама толтырылды.",crime,other,1249
"исекешев студенттерді хостелдер мен қонақүйлерге орналастыруды ұсынды исекешев студенттерді хостелдер мен қонақүйлерге орналастыруды ұсынды астана әкімі әсет исекешев студенттерді қонақүйлер мен хостелдерге орналастыруды ұсынды, - деп хабарлайды tengrinews.kz тілшісі. астана әкімі әсет исекешев студенттерді қонақүйлер мен хостелдерге орналастыруды ұсынды, - деп хабарлайды tengrinews.kz тілшісі. ""бірінші басты мәселе - ол баспана. 2017 жылы астанада республика бойынша баспананың 25 пайызы салынды. баспана салу бойынша алдағы жылдарға төрт орын белгіленді және қаланың ескі бөлігін жаңарту бойынша бағдарламалар құрылды. бұл жерге 17 миллион шаршы метр баспана салуға болады. тапсырмаңыз бойынша, қаланы дамытудың бес жылдық бағдарламасын даярлап жатырмыз. ""7-20-25"" концепциясы тұрғындарға үйлі болуыға мүмкіндік және тұрғын үй құрылысын дамытуға серпіліс береді. біз астананың ірі төрт оқу орнын тексеріп, 10мың адамға жатақханадан орын жетіспейтіндігін анықтадық"", - дейді исекешев астананың ары қарайғы даму мәселесін талқылау кезінде. әкімнің сөзінше, бұл мақсатта жалпы аумағы 10,5 гектер болатын 10 жер телісі белгіленді. ""қазір оқу орындары бұл мәселе бойынша білім министрлігімен бірге жұмыс істеп жатыр. колледждерге қатысты айтсақ, 2000 орын жетіспейді. бұл мәселе бойынша да құрылыс бастап, балама механизді де пайдалануды ұсынамын. қазір қалада жұлдызы жоқ 100 қонақ үй мен тоғыз мың төсек орны бар хостелдер қоры бар. мемлекеттік жеке серіктестік аясында студенттерге қызмет көрсетуге болады. бұл қаржы мен уақытты үнемдеуге мүмкіндік береді. бұл мәселені білім минстрлігімен қарауға аламыз"", - дейді әкім.",education,other,1624
"кішкентай қыздарды алдап, жалаңаш суреттерін желіде таратқан ақтөбелік ұсталды кішкентай қыздарды алдап, жалаңаш суреттерін желіде таратқан ақтөбелік ұсталды алматы қаласы алатау ауданының прокуратурасы tiktok әлеуметтік желісіндегі мониторинг барысында 7-10 жастағы кәмелетке толмаған қыздардың ересек ер адаммен хат алмасу дерегі анықталғанын мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. алматы қаласы алатау ауданының прокуратурасы tiktok әлеуметтік желісіндегі мониторинг барысында 7-10 жастағы кәмелетке толмаған қыздардың ересек ер адаммен хат алмасу дерегі анықталғанын мәлімдеді, - деп хабарлайды tengrinews.kz тілшісі. тәртіп сақшылары 27 жастағы ақтөбе облысының тұрғынын анықтап, ұстады. ведомство мәліметінше, ер адам балаларға ақша ұсынып, жалаңаш суреттерін жүктеп, ата-аналарына бұл туралы айтпауды сұраған. ол түскен суреттерді шетелдік әлеуметтік желілерде жариялап отырған. ""күдіктінің әрекеті қылмыстық кодекстің 312-бабының 3-бөлігінің 2-тармағы ""кәмелетке толмағандардың порнографиялық суреттері бар материалдарды дайындау және тарату"" бойынша алдын ала сараланып жатыр. қазір күдікті ұсталып, уақытша ұстау изоляторына қамалды. ол 10 жылдан 15 жылға дейін бас бостандығынан айырылуы мүмкін. іс бойынша процессуалдық прокурор тағайындалып, қажетті тергеу әрекеттері жүргізіледі"", - деп хабарлады алматы прокуратурасының баспасөз қызметі. сондай-ақ, тәртіп сақшылары ата-аналардан балаларының әлеуметтік желілерде не істейтінін мұқият бақылауды сұрады.",crime,other,1478
